Asset_ID,Facility_ID,Asset_Type,Installation_Date,Power_Consumption_kW,Age_Years
AST-1001,DXB-Core-01,Chiller,2022-11-16,42.25,3.5
AST-1002,LHR-Core-02,Fire Panel,2021-12-05,76.91,4.5
AST-1003,DXB-Core-01,Router,2022-06-03,33.98,4.0
AST-1004,MUM-Zone-A,Chiller,2022-09-05,59.3,3.7
AST-1005,LHR-Core-02,PDU,2022-06-21,89.05,3.9
AST-1006,DXB-Edge-02,UPS,2022-03-04,57.38,4.2
AST-1007,MUM-Zone-A,PDU,2022-04-13,50.58,4.1
AST-1008,DXB-Edge-02,Router,2015-07-19,73.11,10.8
AST-1009,DXB-Core-01,Generator,2022-10-25,68.14,3.6
AST-1010,LHR-Core-02,Fire Panel,2019-12-31,61.19,6.4
AST-1011,MUM-Zone-A,PDU,2016-10-06,77.26,9.6
AST-1012,DXB-Edge-02,UPS,2021-10-08,50.3,4.6
AST-1013,MUM-Zone-A,Router,2017-04-09,96.42,9.1
AST-1014,DXB-Edge-02,UPS,2015-04-27,40.85,11.1
AST-1015,SIN-Core-01,UPS,2016-11-21,108.65,9.5
AST-1016,SIN-Core-01,Router,2015-01-10,116.12,11.4
AST-1017,LHR-Core-02,PDU,2016-04-06,49.62,10.1
AST-1018,DXB-Edge-02,Chiller,2022-07-23,85.51,3.8
AST-1019,MUM-Zone-A,Fire Panel,2015-06-30,81.97,10.9
AST-1020,SIN-Core-01,UPS,2020-09-13,72.41,5.7
AST-1021,DXB-Core-01,UPS,2019-12-30,12.69,6.4
AST-1022,LHR-Core-02,Chiller,2019-05-27,74.65,7.0
AST-1023,MUM-Zone-A,PDU,2016-07-28,76.59,9.8
AST-1024,DXB-Core-01,UPS,2016-12-20,62.97,9.4
AST-1025,DXB-Core-01,Chiller,2021-04-16,63.52,5.1
AST-1026,DXB-Core-01,UPS,2015-07-27,55.26,10.8
AST-1027,SIN-Core-01,Chiller,2018-06-03,27.5,8.0
AST-1028,MUM-Zone-A,Generator,2015-01-04,14.28,11.4
AST-1029,SIN-Core-01,Chiller,2018-08-06,16.98,7.8
AST-1030,FRA-Core-01,UPS,2022-08-09,22.81,3.8
AST-1031,FRA-Core-01,Generator,2018-08-06,52.78,7.8
AST-1032,FRA-Core-01,Fire Panel,2021-06-18,62.73,4.9
AST-1033,SIN-Core-01,PDU,2017-09-08,38.41,8.7
AST-1034,FRA-Core-01,Chiller,2017-11-08,74.95,8.5
AST-1035,SIN-Core-01,Fire Panel,2020-07-28,88.37,5.8
AST-1036,SIN-Core-01,PDU,2021-07-17,48.51,4.8
AST-1037,SIN-Core-01,PDU,2019-08-15,14.62,6.8
AST-1038,DXB-Core-01,PDU,2016-12-27,34.53,9.4
AST-1039,MUM-Zone-A,CRAC,2018-03-16,67.8,8.2
AST-1040,DXB-Core-01,Generator,2018-09-15,58.95,7.7
AST-1041,DXB-Core-01,UPS,2021-06-28,55.56,4.9
AST-1042,FRA-Core-01,Router,2016-11-10,42.62,9.5
AST-1043,FRA-Core-01,Fire Panel,2019-01-12,36.33,7.3
AST-1044,DXB-Core-01,Chiller,2018-05-17,103.77,8.0
AST-1045,MUM-Zone-A,Fire Panel,2020-11-02,107.4,5.5
AST-1046,MUM-Zone-A,Fire Panel,2015-04-26,99.92,11.1
AST-1047,MUM-Zone-A,Generator,2018-04-18,102.53,8.1
AST-1048,DXB-Edge-02,Generator,2020-02-07,112.38,6.3
AST-1049,DXB-Core-01,CRAC,2021-08-28,93.3,4.7
AST-1050,FRA-Core-01,Chiller,2016-06-08,48.85,9.9
AST-1051,DXB-Edge-02,Router,2022-12-09,40.6,3.4
AST-1052,MUM-Zone-A,Generator,2015-05-24,35.94,11.0
AST-1053,DXB-Core-01,Chiller,2021-11-04,77.12,4.5
AST-1054,FRA-Core-01,PDU,2020-02-04,34.15,6.3
AST-1055,LHR-Core-02,Generator,2017-03-18,66.52,9.2
AST-1056,MUM-Zone-A,PDU,2016-12-02,109.98,9.5
AST-1057,DXB-Core-01,UPS,2018-10-13,38.63,7.6
AST-1058,FRA-Core-01,Router,2015-10-07,95.88,10.6
AST-1059,MUM-Zone-A,Fire Panel,2018-05-09,20.79,8.0
AST-1060,FRA-Core-01,CRAC,2017-06-11,43.95,8.9
AST-1061,DXB-Core-01,CRAC,2021-06-13,62.51,4.9
AST-1062,MUM-Zone-A,Fire Panel,2020-06-01,77.25,6.0
AST-1063,FRA-Core-01,Fire Panel,2021-10-18,28.7,4.6
AST-1064,MUM-Zone-A,PDU,2022-07-06,47.89,3.9
AST-1065,DXB-Core-01,PDU,2020-12-29,109.69,5.4
AST-1066,SIN-Core-01,CRAC,2016-06-21,49.95,9.9
AST-1067,MUM-Zone-A,Router,2022-03-31,49.51,4.1
AST-1068,DXB-Edge-02,Fire Panel,2022-02-11,67.12,4.3
AST-1069,DXB-Edge-02,Chiller,2016-04-01,30.14,10.1
AST-1070,DXB-Edge-02,UPS,2017-02-22,26.82,9.2
AST-1071,MUM-Zone-A,Chiller,2017-02-15,94.61,9.3
AST-1072,FRA-Core-01,CRAC,2016-03-03,24.43,10.2
AST-1073,MUM-Zone-A,CRAC,2019-07-27,111.49,6.8
AST-1074,DXB-Core-01,Chiller,2022-05-12,40.27,4.0
AST-1075,DXB-Core-01,Fire Panel,2016-11-01,98.84,9.5
AST-1076,FRA-Core-01,Generator,2015-07-11,91.82,10.9
AST-1077,LHR-Core-02,UPS,2019-02-10,102.38,7.3
AST-1078,DXB-Core-01,Router,2019-10-18,18.62,6.6
AST-1079,FRA-Core-01,PDU,2019-12-05,111.81,6.5
AST-1080,SIN-Core-01,PDU,2016-11-06,29.66,9.5
AST-1081,FRA-Core-01,PDU,2020-10-14,32.55,5.6
AST-1082,FRA-Core-01,Generator,2015-02-15,105.54,11.3
AST-1083,DXB-Core-01,CRAC,2016-12-14,31.02,9.4
AST-1084,FRA-Core-01,Router,2019-07-28,88.69,6.8
