Date,Facility_ID,Energy_Consumption_kWh,Cooling_Load_kWh,PUE,Temperature_C,Humidity_Percent,Carbon_Emission_kg
2023-01-01,DXB-Core-01,8266.0,4894.67,1.3,20.4,46.1,3471.72
2023-01-01,DXB-Edge-02,14181.04,4908.82,1.7,19.2,49.7,5956.04
2023-01-01,SIN-Core-01,9581.29,3688.29,1.3,20.5,48.4,4024.14
2023-01-01,FRA-Core-01,12587.3,5415.99,1.29,19.1,49.2,5286.67
2023-01-01,MUM-Zone-A,7160.86,4244.82,1.61,20.0,53.2,3007.56
2023-01-01,LHR-Core-02,9798.97,5276.29,1.24,23.7,51.4,4115.57
2023-01-02,DXB-Core-01,12967.54,7271.63,1.35,24.0,47.1,5446.37
2023-01-02,DXB-Edge-02,9291.48,3284.66,1.58,24.2,54.6,3902.42
2023-01-02,SIN-Core-01,10716.46,3337.16,1.25,22.0,51.9,4500.92
2023-01-02,FRA-Core-01,5222.51,2212.72,1.21,19.6,46.9,2193.46
2023-01-02,MUM-Zone-A,13553.42,7070.22,1.72,19.5,49.3,5692.43
2023-01-02,LHR-Core-02,14491.29,5506.4,1.34,19.3,53.7,6086.34
2023-01-03,DXB-Core-01,13139.94,6697.64,1.21,20.0,53.3,5518.77
2023-01-03,DXB-Edge-02,5583.77,3118.79,1.72,22.0,45.5,2345.18
2023-01-03,SIN-Core-01,9070.52,4048.23,1.27,23.8,51.2,3809.62
2023-01-03,FRA-Core-01,8081.81,2773.34,1.31,19.8,53.4,3394.36
2023-01-03,MUM-Zone-A,5958.82,2204.69,1.52,23.1,48.2,2502.7
2023-01-03,LHR-Core-02,10367.86,4210.95,1.34,24.9,54.4,4354.5
2023-01-04,DXB-Core-01,6316.73,2912.46,1.18,19.7,53.9,2653.03
2023-01-04,DXB-Edge-02,6870.61,3775.77,1.74,21.3,45.8,2885.66
2023-01-04,SIN-Core-01,13984.63,4539.88,1.28,19.9,49.8,5873.54
2023-01-04,FRA-Core-01,9796.39,3154.3,1.2,22.7,52.5,4114.48
2023-01-04,MUM-Zone-A,8585.9,3582.88,1.62,19.8,49.3,3606.08
2023-01-04,LHR-Core-02,13698.05,6993.33,1.21,21.3,48.1,5753.18
2023-01-05,DXB-Core-01,8221.6,4363.12,1.2,21.1,52.1,3453.07
2023-01-05,DXB-Edge-02,9320.22,3811.58,1.79,19.8,53.5,3914.49
2023-01-05,SIN-Core-01,13973.75,6485.77,1.28,19.4,53.3,5868.97
2023-01-05,FRA-Core-01,14412.35,5019.03,1.22,28.3,51.2,6053.19
2023-01-05,MUM-Zone-A,7731.27,2577.02,1.76,23.6,48.6,3247.13
2023-01-05,LHR-Core-02,10156.86,3056.54,1.32,21.9,47.2,4265.88
2023-01-06,DXB-Core-01,13674.12,6342.93,1.34,21.0,49.7,5743.13
2023-01-06,DXB-Edge-02,10378.67,3922.39,1.64,23.6,48.3,4359.04
2023-01-06,SIN-Core-01,14617.45,4948.79,1.21,20.0,47.9,6139.33
2023-01-06,FRA-Core-01,9165.36,3898.63,1.18,20.2,51.3,3849.45
2023-01-06,MUM-Zone-A,8852.16,4727.54,1.72,23.0,54.8,3717.91
2023-01-06,LHR-Core-02,9256.41,3710.52,1.29,22.1,55.0,3887.69
2023-01-07,DXB-Core-01,13709.99,7637.61,1.25,24.9,49.2,5758.19
2023-01-07,DXB-Edge-02,5989.09,2869.94,1.84,19.1,54.8,2515.42
2023-01-07,SIN-Core-01,13920.14,6845.95,1.25,23.3,50.9,5846.46
2023-01-07,FRA-Core-01,6603.64,2745.7,1.25,20.3,46.7,2773.53
2023-01-07,MUM-Zone-A,10115.24,5481.03,1.63,22.0,52.1,4248.4
2023-01-07,LHR-Core-02,7424.2,2285.08,1.2,19.4,51.7,3118.17
2023-01-08,DXB-Core-01,10685.22,6028.09,1.27,22.1,48.8,4487.79
2023-01-08,DXB-Edge-02,12261.78,6551.41,1.58,19.5,46.2,5149.95
2023-01-08,SIN-Core-01,12344.17,6934.03,1.31,20.0,45.1,5184.55
2023-01-08,FRA-Core-01,11617.11,4914.74,1.31,19.2,53.4,4879.19
2023-01-08,MUM-Zone-A,9573.0,5537.82,1.65,19.5,46.6,4020.66
2023-01-08,LHR-Core-02,10273.24,5607.79,1.26,24.5,46.2,4314.76
2023-01-09,DXB-Core-01,9907.93,4926.37,1.32,31.9,51.3,4161.33
2023-01-09,DXB-Edge-02,9265.51,3327.76,1.75,19.9,52.6,3891.51
2023-01-09,SIN-Core-01,9064.13,5357.74,1.27,22.3,51.6,3806.94
2023-01-09,FRA-Core-01,13154.35,6981.99,1.33,21.7,50.0,5524.83
2023-01-09,MUM-Zone-A,9639.1,5469.47,1.47,23.2,52.6,4048.42
2023-01-09,LHR-Core-02,6865.94,3414.2,1.33,19.8,48.2,2883.69
2023-01-10,DXB-Core-01,5206.39,1923.47,1.31,20.9,48.3,2186.68
2023-01-10,DXB-Edge-02,11857.28,4021.17,1.84,21.1,51.0,4980.06
